X;ID;dataSetName;archiveType;siteName;latitude;longitude;elevation;region;country;startYear;endYear
[ID350]_NT_Callitris_[Col6]_NT_Signalfree_2;350;NT_Callitris;tree;NT Callitris; -13.00000000; 132.00000;NA;Australasia;Australia;  1847;2006
[ID352]_NOA_7_[Col6]_LMC_Signalfree_2;352;NOA_7;tree;La Meseda; -23.00000000; -65.01667; 1600.0;South America;Argentina;  1793;1999
[ID353]_NOA_25_[Col6]_sala_Signalfree_2;353;NOA_25;tree;Rio Sala and Popayan; -24.60000000; -64.60000;  700.0;South America;Argentina;  1849;2002
[ID359]_safr001_[Col6]_safr001_Signalfree_2;359;safr001;tree;Die Bos; -32.40000000;  19.21667;NA;Africa;South Africa;  1564;1976
[ID361]_Pink_Pine_NZ_[Col6]_New_Fenwick_Composite_Signalfree_2;361;Pink_Pine_NZ;tree;Pink Pine NZ; -42.00000000; 172.00000;NA;Australasia;New Zealand;  1400;1999
[ID362]_Teak_Indonesia_[Col6]_java_Signalfree_2;362;Teak_Indonesia;tree;Teak Indonesia;  -7.00000000; 111.00000;NA;Australasia;Indonesia;  1565;2005
[ID363]_Therell_1_[Col6]_zim_raw_Signalfree_2;363;Therell_1;tree;Zimbabwe; -18.50000000;  27.33333; 1000.0;Africa;Zimbabwe;  1796;1996
[ID364]_LeQuesne_PP_recon_[Col1]_LeQuesne_C.Chile.PP;364;LeQuesne_PP_recon;tree;LeQuesne Central Chile PP recon; -34.00000000; -70.41667; 1700.0;South America;Chile;  1200;2000
[ID370]_TR_Cluster_CAN17_[Col6]_NOPU_Cluster_1_Data_Signalfree_2;370;TR_Cluster_CAN17;tree;CAN17_Cluster; -41.16666667; -71.83333; 1700.0;South America;Argentina;  1838;1994
[ID372]_TR_Cluster_NWA2_[Col6]_NOA_Cluster_4_Data_Signalfree_2;372;TR_Cluster_NWA2;tree;NWA2_Cluster; -24.00000000; -65.00000; 2200.0;South America;Argentina;  1742;2001
[ID374]_TR_Cluster_SAN5_[Col6]_NOPU_Cluster_18_Data_Signalfree_2;374;TR_Cluster_SAN5;tree;SAN5_Cluster; -54.75000000; -67.66667;  600.0;South America;Argentina;  1528;1986
[ID375]_Kauri_NZ_[Col6]_AGAUm05_Signalfree_2;375;Kauri_NZ;tree;Kauri NZ; -36.00000000; 174.00000;  200.0;Australasia;New Zealand;  1269;2002
[ID385]_Huon_Pine_Tasmania_[Col1]_MtRead_TT_recon;385;Huon_Pine_Tasmania;tree;Huon Pine Mt. Read Tasmania; -42.00000000; 147.00000;  600.0;Australasia;Australia; -2145;1999
[ID387]_TR_Cluster_NWA4_[Col6]_NOA_Cluster_3x_Data_Signalfree_2;387;TR_Cluster_NWA4;tree;NWA4_Cluster; -24.00000000; -65.00000; 1750.0;South America;Argentina;  1793;1999
[ID396]_TR_Cluster_SAN6_[Col6]_NOPU_Cluster_10_Data_Signalfree_2;396;TR_Cluster_SAN6;tree;SAN6_Cluster; -54.83333333; -64.33333;   40.0;South America;Argentina;  1647;1986
[ID406]_TR_Cluster_CAN27_[Col6]_NOPU_Cluster_5x_Data_Signalfree_2;406;TR_Cluster_CAN27;tree;CAN27_Cluster; -49.00000000; -72.00000;  800.0;South America;Argentina;  1647;2003
[ID410]_TR_Cluster_CAN10_[Col6]_C.Andes_Cluster_8_Data_Signalfree_2;410;TR_Cluster_CAN10;tree;CAN10_Cluster; -39.50000000; -70.83333; 1320.0;South America;Argentina;  1508;1989
[ID411]_TR_Cluster_CAN1_[Col6]_C.Andes_Cluster_9_Data_Signalfree_2;411;TR_Cluster_CAN1;tree;CAN1_Cluster; -34.50000000; -70.50000; 1200.0;South America;Chile;  1131;1975
[ID412]_TR_Cluster_CAN9_[Col6]_C.Andes_Cluster_7AN_Data_Signalfree_2;412;TR_Cluster_CAN9;tree;CAN9_Cluster; -39.33333333; -71.25000; 1100.0;South America;Argentina;  1306;2006
[ID415]_TR_Cluster_CAN33_[Col6]_Chalten_1_Signalfree_2;415;TR_Cluster_CAN33;tree;CAN33_Cluster; -49.45000000; -73.33333;  775.0;South America;Argentina;  1629;2007
[ID416]_TR_Cluster_CAN34_[Col6]_Chalten_2_Signalfree_2;416;TR_Cluster_CAN34;tree;CAN34_Cluster; -50.60000000; -73.66667;  461.0;South America;Argentina;  1715;2007
[ID417]_TR_Cluster_CAN32_[Col6]_Chalten_3_Signalfree_2;417;TR_Cluster_CAN32;tree;CAN32_Cluster; -48.46666667; -72.25000;  945.0;South America;Argentina;  1599;1998
[ID419]_TR_Cluster_NWA1_[Col6]_NOA_Cluster_1B_Data_Signalfree_2;419;TR_Cluster_NWA1;tree;NWA1_Cluster; -23.00000000; -65.00000; 1200.0;South America;Argentina;  1791;2002
[ID420]_TR_Cluster_NWA5_[Col6]_NOA_Cluster_2x_Data_Signalfree_2;420;TR_Cluster_NWA5;tree;NWA5_Cluster; -25.00000000; -65.50000; 2000.0;South America;Argentina;  1686;2002
